ODS_CODE,NAME,POSTCODE,POSTCODE_LATITUDE,POSTCODE_LONGITUDE,POSTCODE_DISTRICT,POSTCODE_COUNTY,GPAD_SYSTEMS,SYSTEM
A81001,THE DENSHAM SURGERY,TS18 1HU,54.561637,-1.318999,E06000004,E99999999,TPP,TPP
A81002,QUEENS PARK MEDICAL CENTRE,TS18 2AW,54.569175,-1.313893,E06000004,E99999999,TPP,TPP
A81004,ACKLAM MEDICAL CENTRE,TS5 8SB,54.538198,-1.262142,E06000002,E99999999,TPP,TPP
A81005,SPRINGWOOD SURGERY,TS14 7DJ,54.53261,-1.055459,E06000003,E99999999,TPP,TPP
A81006,TENNANT STREET MEDICAL PRACTICE,TS18 2AT,54.568616,-1.313593,E06000004,E99999999,TPP,TPP
A81007,BANKHOUSE SURGERY,TS24 7PW,54.682342,-1.214164,E06000001,E99999999,TPP,TPP
A81009,VILLAGE MEDICAL CENTRE,TS5 6HF,54.562285,-1.241897,E06000002,E99999999,TPP,TPP
A81011,CHADWICK PRACTICE,TS24 7PW,54.682342,-1.214164,E06000001,E99999999,TPP,TPP
A81012,WESTBOURNE MEDICAL CENTRE,TS3 6AL,54.571738,-1.216246,E06000002,E99999999,TPP,TPP
A81013,BROTTON SURGERY,TS12 2FF,54.565279,-0.936373,E06000003,E99999999,TPP,TPP
A81014,QUEENSTREE PRACTICE,TS23 2LA,54.608303,-1.294813,E06000004,E99999999,TPP,TPP
A81016,PARK SURGERY,TS1 3QY,54.566667,-1.240007,E06000002,E99999999,TPP,TPP
A81017,WOODBRIDGE PRACTICE,TS17 0EE,54.538161,-1.292142,E06000004,E99999999,TPP,TPP
A81018,BENTLEY MEDICAL PRACTICE,TS10 4NW,54.599299,-1.068807,E06000003,E99999999,TPP,TPP
A81019,CROSSFELL HEALTH CENTRE,TS3 7RL,54.560975,-1.204406,E06000002,E99999999,TPP,TPP
A81020,MARTONSIDE MEDICAL CENTRE,TS4 3BU,54.553188,-1.220343,E06000002,E99999999,TPP,TPP
A81021,NORMANBY MEDICAL CENTRE,TS6 6TD,54.571137,-1.168043,E06000003,E99999999,TPP,TPP
A81022,HILLSIDE PRACTICE,TS12 2TG,54.563154,-0.980814,E06000003,E99999999,TPP,TPP
A81023,THE ENDEAVOUR PRACTICE,TS1 2NX,54.575059,-1.235411,E06000002,E99999999,TPP,TPP
A81025,THE DOVECOT SURGERY,TS18 1HU,54.561637,-1.318999,E06000004,E99999999,TPP,TPP
A81026,LINTHORPE SURGERY,TS5 6HA,54.563343,-1.241615,E06000002,E99999999,TPP,TPP
A81027,YARM MEDICAL PRACTICE,TS15 9DD,54.505085,-1.355828,E06000004,E99999999,TPP,TPP
A81029,PROSPECT SURGERY,TS1 2NX,54.575059,-1.235411,E06000002,E99999999,TPP,TPP
A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,TS1 3RY,54.571979,-1.227224,E06000002,E99999999,TPP,TPP
A81031,HAVELOCK GRANGE PRACTICE,TS24 7PW,54.682342,-1.214164,E06000001,E99999999,TPP,TPP
A81032,THE GARTH,TS14 7DJ,54.53261,-1.055459,E06000003,E99999999,TPP,TPP
A81034,THORNABY & BARWICK MEDICAL GROUP,TS17 0EE,54.538161,-1.292142,E06000004,E99999999,TPP,TPP
A81035,NEWLANDS MEDICAL CENTRE,TS1 3RX,54.571944,-1.226049,E06000002,E99999999,EMIS,EMIS
A81036,NORTON MEDICAL CENTRE,TS20 2UZ,54.588737,-1.308737,E06000004,E99999999,TPP,TPP
A81037,THE ERIMUS PRACTICE,TS1 2NX,54.575059,-1.235411,E06000002,E99999999,TPP,TPP
A81038,HIRSEL MEDICAL CENTRE,TS3 6AL,54.571738,-1.216246,E06000002,E99999999,TPP,TPP
A81039,EAGLESCLIFFE MEDICAL PRACTICE,TS16 9EA,54.520025,-1.348131,E06000004,E99999999,TPP,TPP
A81040,MARSH HOUSE MEDICAL PRACTICE,TS23 2DG,54.611738,-1.29223,E06000004,E99999999,TPP,TPP
A81041,HART MEDICAL PRACTICE,TS24 9DN,54.70398,-1.223445,E06000001,E99999999,TPP,TPP
A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,TS6 9QG,54.569967,-1.16652,E06000003,E99999999,TPP,TPP
A81044,MCKENZIE HOUSE SURGERY,TS25 1QU,54.672432,-1.210401,E06000001,E99999999,TPP,TPP
A81045,THE COATHAM ROAD SURGERY,TS10 1SR,54.617378,-1.071941,E06000003,E99999999,TPP,TPP
A81046,WOODLANDS FAMILY MEDICAL CENTRE,TS18 1YE,54.561227,-1.321217,E06000004,E99999999,TPP,TPP
A81048,ZETLAND MEDICAL PRACTICE,TS11 7BL,54.591713,-1.016408,E06000003,E99999999,TPP,TPP
A81049,KINGS MEDICAL CENTRE,TS3 6AL,54.571738,-1.216246,E06000002,E99999999,TPP,TPP
A81051,CAMBRIDGE MEDICAL GROUP,TS5 5NN,54.554162,-1.252314,E06000002,E99999999,TPP,TPP
A81052,THE GREEN HOUSE SURGERY,TS10 4NW,54.599299,-1.068807,E06000003,E99999999,TPP,TPP
A81053,WOODSIDE SURGERY,TS13 4HW,54.553923,-0.886804,E06000003,E99999999,TPP,TPP
A81054,THE SALTSCAR SURGERY,TS10 1UA,54.616294,-1.073653,E06000003,E99999999,TPP,TPP
A81056,MELROSE SURGERY,TS23 2JW,54.609409,-1.287316,E06000004,E99999999,TPP,TPP
A81057,KINGSWAY MEDICAL CENTRE,TS23 2LS,54.606471,-1.289024,E06000004,E99999999,TPP,TPP
A81058,COULBY MEDICAL PRACTICE,TS8 0TL,54.524817,-1.213775,E06000002,E99999999,EMIS,EMIS
A81060,WEST QUAY MEDICAL PRACTICE,TS26 8DB,54.685184,-1.217273,E06000001,E99999999,TPP,TPP
